T=0.6812920690579614
# r  C(r)
0.500000 0.000000e+00
1.500000 0.000000e+00
2.500000 0.000000e+00
3.500000 0.000000e+00
4.500000 0.000000e+00
5.500000 0.000000e+00
6.500000 0.000000e+00
7.500000 0.000000e+00
8.500000 0.000000e+00
9.500000 0.000000e+00
10.500000 0.000000e+00
11.500000 0.000000e+00
12.500000 7.535885e-02
13.500000 4.683014e-01
14.500000 2.476077e-01
15.500000 0.000000e+00
16.500000 0.000000e+00
17.500000 0.000000e+00
18.500000 4.898325e-01
19.500000 5.921053e-02
20.500000 0.000000e+00
21.500000 1.291866e-01
22.500000 1.076555e-01
23.500000 0.000000e+00
24.500000 0.000000e+00
25.500000 1.275718e+00
26.500000 0.000000e+00
27.500000 2.852871e-01
28.500000 0.000000e+00
29.500000 0.000000e+00
30.500000 1.076555e-01
31.500000 0.000000e+00
32.500000 9.688995e-02
33.500000 2.691388e-01
34.500000 6.997608e-02
35.500000 0.000000e+00
36.500000 2.691388e-02
37.500000 0.000000e+00
38.500000 0.000000e+00
39.500000 0.000000e+00
40.500000 0.000000e+00
41.500000 3.014354e-01
42.500000 0.000000e+00
43.500000 0.000000e+00
44.500000 1.076555e-01
45.500000 0.000000e+00
46.500000 0.000000e+00
47.500000 0.000000e+00
48.500000 2.745215e-01
49.500000 9.688995e-02
50.500000 6.459330e-02
51.500000 3.229665e-01
52.500000 0.000000e+00
53.500000 0.000000e+00
54.500000 0.000000e+00
55.500000 1.614833e-02
56.500000 0.000000e+00
57.500000 2.583732e-01
58.500000 6.405502e-01
59.500000 3.929426e-01
