T=0.5011872336272722
# r  C(r)
0.500000 0.000000e+00
1.500000 1.116000e+00
2.500000 1.350000e-02
3.500000 3.600000e-02
4.500000 5.805000e-01
5.500000 3.600000e-01
6.500000 1.957500e+00
7.500000 2.299500e+00
8.500000 1.210500e+00
9.500000 3.375000e-01
10.500000 1.597500e+00
11.500000 0.000000e+00
12.500000 2.326500e+00
13.500000 2.938500e+00
14.500000 2.727000e+00
15.500000 2.911500e+00
16.500000 1.993500e+00
17.500000 1.800000e+00
18.500000 3.078000e+00
19.500000 4.104000e+00
20.500000 1.975500e+00
21.500000 2.758500e+00
22.500000 6.394500e+00
23.500000 3.451500e+00
24.500000 3.766500e+00
25.500000 1.606500e+00
26.500000 3.375000e+00
27.500000 5.296500e+00
28.500000 2.965500e+00
29.500000 2.862000e+00
30.500000 1.156500e+00
31.500000 2.479500e+00
32.500000 1.242000e+00
33.500000 5.656500e+00
34.500000 3.087000e+00
35.500000 2.704500e+00
36.500000 2.880000e+00
37.500000 5.350500e+00
38.500000 3.726000e+00
39.500000 5.247000e+00
40.500000 3.316500e+00
41.500000 2.169000e+00
42.500000 2.920500e+00
43.500000 4.198500e+00
44.500000 2.281500e+00
45.500000 3.037500e+00
46.500000 5.715000e+00
47.500000 2.785500e+00
48.500000 6.147000e+00
49.500000 4.275000e+00
50.500000 3.703500e+00
51.500000 4.567500e+00
52.500000 5.859000e+00
53.500000 2.110500e+00
54.500000 3.780000e+00
55.500000 4.509000e+00
56.500000 2.542500e+00
57.500000 3.073500e+00
58.500000 4.495500e+00
59.500000 3.334500e+00
