T=0.6543189129712969
# r  C(r)
0.500000 0.000000e+00
1.500000 0.000000e+00
2.500000 5.931696e-02
3.500000 9.167166e-02
4.500000 2.750150e-01
5.500000 3.397244e-01
6.500000 3.181546e-01
7.500000 3.882564e-01
8.500000 9.167166e-02
9.500000 9.706411e-02
10.500000 7.549431e-02
11.500000 2.264829e-01
12.500000 5.446375e-01
13.500000 1.671660e-01
14.500000 2.264829e-01
15.500000 2.588376e-01
16.500000 1.186339e-01
17.500000 1.024566e-01
18.500000 9.706411e-02
19.500000 5.662073e-01
20.500000 4.313960e-01
21.500000 2.857999e-01
22.500000 3.774715e-02
23.500000 2.588376e-01
24.500000 4.583583e-01
25.500000 8.088676e-02
26.500000 2.804074e-01
27.500000 4.853206e-01
28.500000 4.853206e-01
29.500000 1.617735e-01
