T=0.9412049672680668
# r  C(r)
0.500000 4.635000e-01
1.500000 1.179000e+00
2.500000 1.026000e+00
3.500000 2.358000e+00
4.500000 2.412000e+00
5.500000 2.214000e+00
6.500000 3.424500e+00
7.500000 3.658500e+00
8.500000 2.961000e+00
9.500000 3.366000e+00
10.500000 4.599000e+00
11.500000 3.753000e+00
12.500000 4.149000e+00
13.500000 4.401000e+00
14.500000 3.919500e+00
15.500000 4.905000e+00
16.500000 4.432500e+00
17.500000 4.504500e+00
18.500000 5.454000e+00
19.500000 5.751000e+00
20.500000 4.513500e+00
21.500000 5.391000e+00
22.500000 4.900500e+00
23.500000 4.617000e+00
24.500000 4.914000e+00
25.500000 4.882500e+00
26.500000 5.350500e+00
27.500000 4.882500e+00
28.500000 5.220000e+00
29.500000 4.500000e+00
