T=0.8337822234717891
# r  C(r)
0.500000 2.791396e-01
1.500000 8.959480e-01
2.500000 8.824412e-01
3.500000 1.049025e+00
4.500000 7.383692e-01
5.500000 6.168084e-01
6.500000 1.809905e+00
7.500000 1.841421e+00
8.500000 1.769385e+00
9.500000 2.062031e+00
10.500000 1.697349e+00
11.500000 1.742371e+00
12.500000 2.359180e+00
13.500000 2.674337e+00
14.500000 2.498749e+00
15.500000 2.282641e+00
16.500000 2.318659e+00
17.500000 2.413207e+00
18.500000 3.255128e+00
19.500000 3.489245e+00
20.500000 2.251126e+00
21.500000 2.786893e+00
22.500000 3.592796e+00
23.500000 3.700850e+00
24.500000 3.750375e+00
25.500000 3.318159e+00
26.500000 3.381191e+00
27.500000 3.637819e+00
28.500000 2.872436e+00
29.500000 3.385693e+00
