T=0.5796393953384968
# r  C(r)
0.500000 0.000000e+00
1.500000 0.000000e+00
2.500000 0.000000e+00
3.500000 0.000000e+00
4.500000 0.000000e+00
5.500000 0.000000e+00
6.500000 0.000000e+00
7.500000 1.338290e-01
8.500000 0.000000e+00
9.500000 0.000000e+00
10.500000 0.000000e+00
11.500000 2.408922e-01
12.500000 7.360595e-02
13.500000 2.408922e-01
14.500000 8.029740e-02
15.500000 0.000000e+00
16.500000 1.338290e-02
17.500000 1.873606e-01
18.500000 1.605948e-01
19.500000 9.368030e-02
20.500000 7.828996e-01
21.500000 2.676580e-01
22.500000 2.007435e-02
23.500000 2.342007e-01
24.500000 1.070632e-01
25.500000 0.000000e+00
26.500000 0.000000e+00
27.500000 0.000000e+00
28.500000 0.000000e+00
29.500000 4.684015e-02
