T=0.7386199822079362
# r  C(r)
0.500000 2.739726e-02
1.500000 2.968037e-01
2.500000 2.009132e-01
3.500000 1.050228e-01
4.500000 6.255708e-01
5.500000 2.420091e-01
6.500000 7.397260e-01
7.500000 7.534247e-01
8.500000 4.931507e-01
9.500000 7.351598e-01
10.500000 5.251142e-01
11.500000 9.497717e-01
12.500000 8.630137e-01
13.500000 8.630137e-01
14.500000 8.356164e-01
15.500000 7.762557e-01
16.500000 1.260274e+00
17.500000 1.639269e+00
18.500000 7.077626e-01
19.500000 1.237443e+00
20.500000 6.392694e-01
21.500000 1.771689e+00
22.500000 1.397260e+00
23.500000 1.041096e+00
24.500000 8.310502e-01
25.500000 1.324201e+00
26.500000 8.264840e-01
27.500000 1.694064e+00
28.500000 1.310502e+00
29.500000 9.269406e-01
