T=1.0624678308940414
# r  C(r)
0.500000 1.026000e+00
1.500000 4.522500e+00
2.500000 3.460500e+00
3.500000 3.798000e+00
4.500000 4.918500e+00
5.500000 5.152500e+00
6.500000 6.642000e+00
7.500000 7.564500e+00
8.500000 5.854500e+00
9.500000 6.880500e+00
10.500000 7.128000e+00
11.500000 7.443000e+00
12.500000 7.501500e+00
13.500000 8.212500e+00
14.500000 8.356500e+00
15.500000 8.343000e+00
16.500000 7.762500e+00
17.500000 7.578000e+00
18.500000 8.068500e+00
19.500000 8.626500e+00
20.500000 7.713000e+00
21.500000 8.442000e+00
22.500000 8.226000e+00
23.500000 7.690500e+00
24.500000 8.365500e+00
25.500000 8.559000e+00
26.500000 8.127000e+00
27.500000 8.307000e+00
28.500000 8.739000e+00
29.500000 8.190000e+00
