T=1.1993539462092344
# r  C(r)
0.500000 1.534500e+00
1.500000 6.439500e+00
2.500000 5.733000e+00
3.500000 7.330500e+00
4.500000 7.573500e+00
5.500000 7.542000e+00
6.500000 8.613000e+00
7.500000 8.784000e+00
8.500000 8.091000e+00
9.500000 8.581500e+00
10.500000 8.874000e+00
11.500000 8.608500e+00
12.500000 8.757000e+00
13.500000 8.860500e+00
14.500000 8.937000e+00
15.500000 8.923500e+00
16.500000 8.901000e+00
17.500000 8.923500e+00
18.500000 8.838000e+00
19.500000 8.910000e+00
20.500000 8.901000e+00
21.500000 8.977500e+00
22.500000 8.973000e+00
23.500000 8.955000e+00
24.500000 8.910000e+00
25.500000 8.937000e+00
26.500000 8.982000e+00
27.500000 8.910000e+00
28.500000 8.991000e+00
29.500000 8.959500e+00
