T=0.7386199822079362
# r  C(r)
0.500000 0.000000e+00
1.500000 0.000000e+00
2.500000 0.000000e+00
3.500000 0.000000e+00
4.500000 0.000000e+00
5.500000 2.714932e-02
6.500000 2.104072e-01
7.500000 0.000000e+00
8.500000 0.000000e+00
9.500000 1.357466e-02
10.500000 2.714932e-02
11.500000 3.393665e-02
12.500000 3.393665e-02
13.500000 0.000000e+00
14.500000 7.466063e-02
15.500000 0.000000e+00
16.500000 1.357466e-01
17.500000 1.696833e-01
18.500000 0.000000e+00
19.500000 3.190045e-01
20.500000 6.108597e-02
21.500000 1.425339e-01
22.500000 2.171946e-01
23.500000 1.289593e-01
24.500000 7.466063e-02
25.500000 1.900452e-01
26.500000 0.000000e+00
27.500000 0.000000e+00
28.500000 2.714932e-02
29.500000 0.000000e+00
