T=1.1993539462092344
# r  C(r)
0.500000 8.775000e-01
1.500000 3.465000e+00
2.500000 2.956500e+00
3.500000 5.179500e+00
4.500000 4.761000e+00
5.500000 5.130000e+00
6.500000 6.372000e+00
7.500000 6.628500e+00
8.500000 6.480000e+00
9.500000 6.624000e+00
10.500000 7.591500e+00
11.500000 6.651000e+00
12.500000 7.263000e+00
13.500000 7.996500e+00
14.500000 7.285500e+00
15.500000 7.591500e+00
16.500000 7.965000e+00
17.500000 7.119000e+00
18.500000 7.695000e+00
19.500000 8.212500e+00
20.500000 7.488000e+00
21.500000 7.825500e+00
22.500000 7.767000e+00
23.500000 7.659000e+00
24.500000 7.969500e+00
25.500000 7.852500e+00
26.500000 8.253000e+00
27.500000 8.082000e+00
28.500000 8.050500e+00
29.500000 7.758000e+00
