T=1.353876180022544
# r  C(r)
0.500000 1.944000e+00
1.500000 6.606000e+00
2.500000 5.593500e+00
3.500000 7.627500e+00
4.500000 8.181000e+00
5.500000 7.551000e+00
6.500000 8.433000e+00
7.500000 8.370000e+00
8.500000 8.239500e+00
9.500000 8.563500e+00
10.500000 8.793000e+00
11.500000 8.568000e+00
12.500000 8.883000e+00
13.500000 8.887500e+00
14.500000 8.919000e+00
15.500000 8.973000e+00
16.500000 8.896500e+00
17.500000 8.919000e+00
18.500000 8.995500e+00
19.500000 8.932500e+00
20.500000 8.887500e+00
21.500000 8.910000e+00
22.500000 8.950500e+00
23.500000 8.892000e+00
24.500000 8.919000e+00
25.500000 8.887500e+00
26.500000 8.928000e+00
27.500000 8.910000e+00
28.500000 8.941500e+00
29.500000 8.937000e+00
