T=0.8337822234717891
# r  C(r)
0.500000 0.000000e+00
1.500000 2.968664e-02
2.500000 0.000000e+00
3.500000 3.958219e-02
4.500000 2.968664e-02
5.500000 0.000000e+00
6.500000 2.572842e-01
7.500000 1.088510e-01
8.500000 5.442551e-02
9.500000 4.799340e-01
10.500000 3.958219e-02
11.500000 6.679494e-01
12.500000 3.463441e-02
13.500000 4.650907e-01
14.500000 4.947774e-03
15.500000 2.523364e-01
16.500000 9.400770e-02
17.500000 2.226498e-01
18.500000 1.731721e-01
19.500000 1.533810e-01
20.500000 3.364486e-01
21.500000 3.463441e-02
22.500000 5.046729e-01
23.500000 1.137988e-01
24.500000 2.968664e-01
25.500000 1.434854e-01
26.500000 7.916438e-02
27.500000 1.187466e-01
28.500000 9.400770e-02
29.500000 1.484332e-01
