T=0.9412049672680668
# r  C(r)
0.500000 2.403023e-01
1.500000 1.110831e+00
2.500000 8.614610e-02
3.500000 1.772796e+00
4.500000 8.478589e-01
5.500000 3.128463e-01
6.500000 1.192443e+00
7.500000 1.963224e+00
8.500000 1.169773e+00
9.500000 1.387406e+00
10.500000 1.709320e+00
11.500000 1.940554e+00
12.500000 1.496222e+00
13.500000 1.659446e+00
14.500000 1.450882e+00
15.500000 1.274055e+00
16.500000 6.982368e-01
17.500000 1.174307e+00
18.500000 1.958690e+00
19.500000 2.117380e+00
20.500000 2.035768e+00
21.500000 2.058438e+00
22.500000 1.958690e+00
23.500000 2.085642e+00
24.500000 2.244332e+00
25.500000 2.094710e+00
26.500000 2.366751e+00
27.500000 2.257935e+00
28.500000 2.221662e+00
29.500000 2.262469e+00
