# T E Cv Mx My rho_m chi_x chi_y
100.0 2.93164 0.00020163370133333957 2.6846787517317615e-06 -3.73888888888889e-06 0.48291000000000006 5.178337750000001e-08 5.7746395462962967e-08
83.37822234717892 2.9326799999999995 0.00029016419585445677 2.3094010767584996e-07 -3.0222222222222216e-06 0.48317 6.271402595064946e-08 6.495124216682637e-08
69.51927961775606 2.9276600000000004 0.0004149182202815932 -9.064399226277125e-06 3.2222222222222235e-06 0.48191500000000004 7.72769786802675e-08 8.36527335978383e-08
57.963939533849675 2.88426 0.0005651124311547622 3.108068949137485e-06 -7.833333333333342e-07 0.47106500000000007 9.617362134205484e-08 9.980440777371698e-08
48.32930238571752 2.8799799999999998 0.000826890825337017 -1.3856406460551018e-06 3.7777777777777772e-06 0.469995 1.2396853654273866e-07 1.2094909085450898e-07
40.296113202004 2.86144 0.001080204462638339 -8.034791246222293e-06 -4.0722222222222226e-06 0.46536 1.3498460344906418e-07 1.517140880106218e-07
33.59818286283783 2.83222 0.0016627209278610522 -9.420431892277394e-06 -7.116666666666667e-06 0.45805500000000005 1.698434768850608e-07 1.6144971440635855e-07
28.013567611988687 2.78646 0.002362670137005355 -4.214656965084267e-06 9.266666666666667e-06 0.446615 2.216903520710047e-07 2.0491055559974787e-07
23.357214690901223 2.76344 0.0034792030740355287 4.051074388813876e-06 5.7722222222222215e-06 0.44086 2.703765576987076e-07 2.699833894662646e-07
19.474830399087562 2.7123399999999998 0.0046984173688139645 1.3279056191361393e-06 -4.3e-06 0.42808500000000005 3.295834664322333e-07 3.215208544976329e-07
16.237767391887218 2.6458600000000003 0.006669478620953477 -7.014805770653953e-06 -9.444444444444478e-08 0.411465 3.931755611147197e-07 4.017780676434061e-07
13.538761800225446 2.59324 0.009898176974501153 1.9533684107582323e-06 9.944444444444441e-07 0.39831 4.87933983158801e-07 4.431842716175952e-07
11.288378916846895 2.51238 0.014093958317343414 -1.3635088857361662e-05 1.006111111111111e-05 0.378095 5.91429549830876e-07 5.841030590820338e-07
9.41204967268067 2.43302 0.017743555468488804 -1.0065139692872474e-05 -1.0666666666666675e-06 0.358255 6.79654426473112e-07 7.129583502820808e-07
7.847599703514615 2.32092 0.023846110566616036 4.27239199200323e-06 1.8888888888888882e-07 0.33023 9.893147606324977e-07 8.571467844925004e-07
6.543189129712969 2.22808 0.029557397919205277 -8.708366560276853e-06 5.272222222222224e-06 0.30701999999999996 1.098168941916026e-06 1.1847283776944175e-06
5.45559478116852 2.09918 0.040587643754122035 -8.082903768654761e-06 -7.666666666666673e-07 0.274795 1.4862948124760576e-06 1.3470998798228123e-06
4.548777947003778 1.98306 0.05871210615446885 -4.426352063787124e-07 3.777777777777761e-07 0.24576500000000004 1.663706208410535e-06 1.660289995798348e-06
3.79269019073225 1.8361 0.06728722410706818 4.1088094157328354e-06 1.6005555555555556e-05 0.20902500000000002 2.199696842962583e-06 2.113163000478553e-06
