# T E Cv Mx My rho_m chi_x chi_y
100.0 2.931172000000001 0.0002176084988534761 -3.464477494219259e-07 -6.272786458333333e-07 0.4835190625 2.250073859998916e-10 2.1044241389521848e-10
83.37822234717892 2.920681500000011 0.0002552007873052398 3.4791367783979023e-07 -7.16015625e-07 0.48111625 2.4572265525707863e-10 2.8909449003853413e-10
69.51927961775606 2.9080237499999826 0.0004616499767972529 -4.773664335096515e-07 2.131076388888889e-07 0.47797749999999994 3.0202901771554337e-10 3.1094563289310945e-10
57.963939533849675 2.8884909999998984 0.0006702795776170889 2.6589686225569084e-07 2.9361979166666664e-07 0.473516875 4.855695654197921e-10 3.406863051247783e-10
48.32930238571752 2.8727358125000575 0.0007651180461640799 2.352251292049922e-07 9.43142361111111e-08 0.4696796875 4.0095464012980577e-10 4.282561406594647e-10
40.296113202004 2.8368012500000543 0.001232836418242472 -1.1952954791816424e-08 -6.658854166666665e-07 0.460649375 5.01824843088667e-10 8.667500634176496e-10
33.59818286283783 2.802608562500039 0.0015634775873482412 4.258334114354997e-07 -1.7588975694444442e-07 0.453061875 8.228476063536086e-10 7.152810306237628e-10
28.013567611988687 2.7801220625000465 0.0024086260291598135 -5.105941443145752e-07 2.6618923611111115e-07 0.44744406249999996 6.828121348622507e-10 8.376250027000141e-10
23.357214690901223 2.744637437500019 0.003592723327066742 -4.1012166582864627e-07 2.3285590277777734e-08 0.4390978125 7.93909379430368e-10 8.154850650528535e-10
19.474830399087562 2.6831870625000294 0.0053322786022445895 5.61976814756126e-07 -2.2341579861111114e-07 0.42450312500000004 1.2326153576025897e-09 1.2070691295315169e-09
16.237767391887218 2.626472374999973 0.007684364986025645 4.404551077059919e-07 -5.287760416666666e-07 0.4114846875 1.414564982282492e-09 1.5686874979445159e-09
13.538761800225446 2.5431704374999855 0.010381998794742454 1.0035971476147802e-07 -9.875e-07 0.39236656249999996 1.6078564749699065e-09 1.2285958791107125e-09
11.288378916846895 2.4743958749999764 0.015101203409899264 5.679157042438839e-07 8.214626736111112e-07 0.37571718749999994 2.8018974348106818e-09 2.1963308485423873e-09
9.41204967268067 2.3794730625000016 0.019087880485752814 2.0485409941949592e-08 1.1790364583333328e-07 0.35349625 2.4470891536569678e-09 3.5170835635582785e-09
7.847599703514615 2.274192749999986 0.02644566005663258 5.927237236231255e-07 -8.232421875e-07 0.32899906250000005 4.041354128893786e-09 2.882513031406738e-09
6.543189129712969 2.147486000000005 0.03531326982660993 6.269663079481096e-08 -8.077690972222222e-07 0.30122000000000004 4.121969140971236e-09 3.958947195433472e-09
5.45559478116852 1.9945586875000014 0.048021555203075765 1.1479347149121854e-06 -4.2708333333333344e-08 0.26678875 4.414608044505168e-09 6.050498319859003e-09
4.548777947003778 1.8509793124999965 0.055136572066410365 1.232657859883111e-06 -7.266493055555557e-07 0.2338859375 1.3783001086940453e-08 1.0084556633109176e-08
3.79269019073225 1.684084312499991 0.07792801336878091 5.315306091543296e-07 -8.901258680555557e-07 0.1975721875 1.089939819763869e-08 1.0113872916507007e-08
3.1622776601683795 1.5154898124999854 0.10875929238152458 -5.0367796921490145e-09 -2.46310763888889e-07 0.16127531250000002 1.0300439318945231e-08 1.4276635876697896e-08
3.1622776601683795 1.5057888749999833 0.11698561606583342 -2.045082906645127e-06 5.527343749999999e-07 0.1595109375 1.6500755085892547e-08 2.621715464424052e-08
2.801356761198868 1.3881353750000156 0.09088022276909158 8.294899570622823e-07 3.07725694444444e-08 0.1355084375 1.902184336090914e-08 1.8147212874279206e-08
2.481628922836826 1.2601478125000136 0.13778143077589874 2.9196031776715476e-06 -8.975260416666667e-07 0.1106459375 3.633610439926828e-08 1.672588557267431e-08
2.1983926488622894 1.1482130000000104 0.10480162203823803 5.233740330857001e-07 7.397569444444448e-07 0.08956593749999998 1.7741203323285455e-08 3.7568853862983616e-08
1.9474830399087562 1.0211838124999988 0.12161599099458266 -2.7691011934374695e-07 -4.2896050347222225e-06 0.06754624999999999 6.754786507099177e-08 6.8938328255532e-08
1.7252105499420407 0.9140900000000071 0.14604578128323792 3.2844690020871526e-06 -2.3064453125e-06 0.05075875 5.296531564776487e-08 8.689548729699919e-08
1.5283067326587692 0.7990064999999938 0.2201063108779798 8.01979367087029e-06 2.3094835069444445e-06 0.03521375 5.0386468647184347e-08 2.0844519723873866e-07
1.353876180022544 0.6881973125000007 0.15519338999779964 7.58486398566241e-07 -5.6657335069444434e-06 0.022791562499999998 2.7055853712940455e-08 1.506477173533332e-07
1.1993539462092344 0.6063384374999995 0.1559782696346417 -1.2743278148586086e-05 -5.046440972222222e-06 0.01443625 1.300605688028274e-07 8.332777035009732e-08
1.0624678308940414 0.47587900000000005 0.1637510955543675 -1.958262356399409e-05 -1.5298133680555552e-05 0.007273125 5.529595757701271e-07 6.300034187686865e-08
0.9412049672680668 0.3945146875000006 0.16738732510705262 -4.570727218992685e-06 -1.575141059027778e-05 0.004738125000000001 1.055393848296537e-07 1.2769960296459075e-08
0.8337822234717891 0.2999020625000007 0.20182292979642477 -1.6523945126166248e-05 -1.758068576388889e-05 0.0014384375 1.7830719325786449e-07 7.448470947853804e-08
0.7386199822079362 0.21836387500000012 0.23861926312360193 -2.514946793687967e-05 -5.155989583333333e-06 0.0006965625 1.1856968891223412e-07 9.715308525922305e-08
0.6543189129712969 0.16996762500000076 0.14364377394149064 -2.4063214979242273e-05 2.0033572048611113e-05 0.00022312500000000002 3.3917221771780296e-08 4.297392013142043e-08
