T=0.6812920690579614
# r  C(r)
0.500000 0.000000e+00
1.500000 5.850000e-01
2.500000 1.530000e-01
3.500000 2.970000e-01
4.500000 5.310000e-01
5.500000 1.795500e+00
6.500000 9.405000e-01
7.500000 1.062000e+00
8.500000 3.015000e-01
9.500000 7.020000e-01
10.500000 3.150000e-01
11.500000 9.000000e-03
12.500000 2.025000e-01
13.500000 1.107000e+00
14.500000 1.161000e+00
15.500000 1.012500e+00
16.500000 8.595000e-01
17.500000 9.720000e-01
18.500000 1.678500e+00
19.500000 2.043000e+00
20.500000 1.773000e+00
21.500000 9.405000e-01
22.500000 1.431000e+00
23.500000 1.462500e+00
24.500000 1.467000e+00
25.500000 1.354500e+00
26.500000 1.687500e+00
27.500000 1.161000e+00
28.500000 1.026000e+00
29.500000 1.714500e+00
30.500000 9.900000e-01
31.500000 1.908000e+00
32.500000 8.325000e-01
33.500000 1.561500e+00
34.500000 2.466000e+00
35.500000 1.521000e+00
36.500000 2.533500e+00
37.500000 1.435500e+00
38.500000 1.026000e+00
39.500000 1.296000e+00
40.500000 3.082500e+00
41.500000 2.169000e+00
42.500000 7.875000e-01
43.500000 1.741500e+00
44.500000 1.291500e+00
45.500000 2.578500e+00
46.500000 2.578500e+00
47.500000 2.128500e+00
48.500000 3.172500e+00
49.500000 2.871000e+00
50.500000 1.719000e+00
51.500000 3.487500e+00
52.500000 1.998000e+00
53.500000 2.146500e+00
54.500000 1.417500e+00
55.500000 2.241000e+00
56.500000 3.870000e+00
57.500000 2.551500e+00
58.500000 2.947500e+00
59.500000 1.489500e+00
