T=0.5134832907437552
# r  C(r)
0.500000 0.000000e+00
1.500000 4.759387e-02
2.500000 0.000000e+00
3.500000 1.094659e-01
4.500000 9.042834e-02
5.500000 4.283448e-02
6.500000 1.998942e-01
7.500000 1.523004e-01
8.500000 2.379693e-02
9.500000 5.235325e-02
10.500000 6.187203e-02
11.500000 0.000000e+00
12.500000 1.523004e-01
13.500000 3.093601e-01
14.500000 0.000000e+00
15.500000 2.855632e-02
16.500000 4.759387e-02
17.500000 2.236912e-01
18.500000 1.047065e-01
19.500000 6.139609e-01
20.500000 4.759387e-01
21.500000 1.113696e+00
22.500000 6.187203e-02
23.500000 0.000000e+00
24.500000 1.142253e-01
25.500000 5.949233e-01
26.500000 2.094130e-01
27.500000 2.189318e-01
28.500000 9.518773e-03
29.500000 4.045479e-01
