T=0.527499706370262
# r  C(r)
0.500000 0.000000e+00
1.500000 2.744479e-01
2.500000 1.419558e-02
3.500000 0.000000e+00
4.500000 2.649842e-01
5.500000 2.318612e-01
6.500000 6.009464e-01
7.500000 5.820189e-01
8.500000 2.082019e-01
9.500000 3.832808e-01
10.500000 3.738170e-01
11.500000 7.003155e-01
12.500000 4.826498e-01
13.500000 4.589905e-01
14.500000 9.085174e-01
15.500000 1.372240e+00
16.500000 5.063091e-01
17.500000 1.703470e-01
18.500000 1.007886e+00
19.500000 1.206625e+00
20.500000 6.624606e-02
21.500000 1.182965e+00
22.500000 2.507886e-01
23.500000 7.760252e-01
24.500000 4.589905e-01
25.500000 6.861199e-01
26.500000 5.205047e-02
27.500000 4.211356e-01
28.500000 7.760252e-01
29.500000 2.649842e-01
