T=0.45487779470037776
# r  C(r)
0.500000 0.000000e+00
1.500000 5.309735e-02
2.500000 0.000000e+00
3.500000 0.000000e+00
4.500000 0.000000e+00
5.500000 4.247788e-02
6.500000 3.345133e-01
7.500000 0.000000e+00
8.500000 0.000000e+00
9.500000 7.964602e-02
10.500000 1.061947e-02
11.500000 7.433628e-02
12.500000 1.008850e-01
13.500000 7.964602e-02
14.500000 6.902655e-02
15.500000 1.221239e-01
16.500000 7.964602e-02
17.500000 1.221239e-01
18.500000 1.805310e-01
19.500000 1.433628e-01
20.500000 1.115044e-01
21.500000 3.769912e-01
22.500000 2.214159e+00
23.500000 1.592920e-02
24.500000 1.576991e+00
25.500000 1.380531e-01
26.500000 2.654867e-02
27.500000 1.380531e-01
28.500000 5.309735e-03
29.500000 0.000000e+00
