T=0.5796393953384968
# r  C(r)
0.500000 0.000000e+00
1.500000 7.110000e-01
2.500000 5.850000e-02
3.500000 1.260000e-01
4.500000 6.120000e-01
5.500000 5.715000e-01
6.500000 6.930000e-01
7.500000 7.470000e-01
8.500000 5.220000e-01
9.500000 1.062000e+00
10.500000 7.695000e-01
11.500000 7.380000e-01
12.500000 1.057500e+00
13.500000 1.260000e+00
14.500000 2.290500e+00
15.500000 1.480500e+00
16.500000 9.090000e-01
17.500000 1.570500e+00
18.500000 1.476000e+00
19.500000 2.263500e+00
20.500000 8.640000e-01
21.500000 1.836000e+00
22.500000 2.083500e+00
23.500000 1.498500e+00
24.500000 1.602000e+00
25.500000 1.089000e+00
26.500000 3.105000e+00
27.500000 1.692000e+00
28.500000 1.831500e+00
29.500000 1.584000e+00
