T=0.6812920690579614
# r  C(r)
0.500000 1.395000e-01
1.500000 2.565000e+00
2.500000 1.854000e+00
3.500000 2.812500e+00
4.500000 2.520000e+00
5.500000 1.768500e+00
6.500000 3.762000e+00
7.500000 4.635000e+00
8.500000 2.290500e+00
9.500000 3.496500e+00
10.500000 4.158000e+00
11.500000 2.857500e+00
12.500000 4.513500e+00
13.500000 4.207500e+00
14.500000 4.513500e+00
15.500000 5.035500e+00
16.500000 5.256000e+00
17.500000 3.906000e+00
18.500000 4.563000e+00
19.500000 5.413500e+00
20.500000 3.856500e+00
21.500000 5.418000e+00
22.500000 5.346000e+00
23.500000 4.662000e+00
24.500000 5.562000e+00
25.500000 5.103000e+00
26.500000 4.014000e+00
27.500000 6.232500e+00
28.500000 5.782500e+00
29.500000 5.377500e+00
