T=0.7386199822079362
# r  C(r)
0.500000 1.350000e-02
1.500000 2.691000e+00
2.500000 1.516500e+00
3.500000 3.811500e+00
4.500000 4.032000e+00
5.500000 3.915000e+00
6.500000 7.105500e+00
7.500000 5.521500e+00
8.500000 3.883500e+00
9.500000 5.728500e+00
10.500000 6.687000e+00
11.500000 5.265000e+00
12.500000 6.381000e+00
13.500000 6.939000e+00
14.500000 5.512500e+00
15.500000 6.354000e+00
16.500000 6.061500e+00
17.500000 6.277500e+00
18.500000 7.182000e+00
19.500000 7.767000e+00
20.500000 5.706000e+00
21.500000 6.984000e+00
22.500000 7.110000e+00
23.500000 6.777000e+00
24.500000 7.866000e+00
25.500000 6.646500e+00
26.500000 6.822000e+00
27.500000 7.758000e+00
28.500000 7.650000e+00
29.500000 6.088500e+00
