T=0.8799225435691069
# r  C(r)
0.500000 4.410000e-01
1.500000 7.389000e+00
2.500000 6.075000e+00
3.500000 7.794000e+00
4.500000 7.875000e+00
5.500000 7.924500e+00
6.500000 8.815500e+00
7.500000 8.716500e+00
8.500000 8.361000e+00
9.500000 8.887500e+00
10.500000 8.802000e+00
11.500000 8.514000e+00
12.500000 8.856000e+00
13.500000 8.959500e+00
14.500000 8.883000e+00
15.500000 8.928000e+00
16.500000 8.896500e+00
17.500000 8.811000e+00
18.500000 8.950500e+00
19.500000 8.977500e+00
20.500000 8.856000e+00
21.500000 8.991000e+00
22.500000 8.982000e+00
23.500000 8.914500e+00
24.500000 8.955000e+00
25.500000 8.932500e+00
26.500000 8.932500e+00
27.500000 9.000000e+00
28.500000 8.991000e+00
29.500000 8.878500e+00
