T=0.6543189129712969
# r  C(r)
0.500000 0.000000e+00
1.500000 1.561500e+00
2.500000 2.880000e-01
3.500000 1.179000e+00
4.500000 1.089000e+00
5.500000 6.435000e-01
6.500000 1.854000e+00
7.500000 1.993500e+00
8.500000 7.290000e-01
9.500000 2.070000e+00
10.500000 2.470500e+00
11.500000 1.651500e+00
12.500000 2.155500e+00
13.500000 2.398500e+00
14.500000 2.119500e+00
15.500000 2.178000e+00
16.500000 1.674000e+00
17.500000 2.889000e+00
18.500000 4.000500e+00
19.500000 3.739500e+00
20.500000 2.002500e+00
21.500000 2.565000e+00
22.500000 3.676500e+00
23.500000 3.892500e+00
24.500000 3.726000e+00
25.500000 2.668500e+00
26.500000 2.286000e+00
27.500000 3.978000e+00
28.500000 2.718000e+00
29.500000 3.028500e+00
